Company,WAPE (price),WAPE (return)
AMZN,1.9150324165821075,101.20570659637451
MSFT,1.403056364506483,99.54780340194702
GM,2.7658311650156975,101.60109996795654
UBER,3.5937588661909103,100.83708763122559
Coca Cola,0.8555350825190544,100.15946626663208
EBAY,1.6958491876721382,100.49242973327637
DIS,1.2928163632750511,100.35300254821777
FORD,1.8904533237218857,101.16432905197144
NFLX,1.9223552197217941,103.28110456466675
NKE,1.4540482312440872,99.79314804077148
GE,1.6123676672577858,100.44412612915039
WMT,1.0204185731709003,100.197434425354
INTC,1.5494060702621937,100.4163384437561
GOOG,1.4655391685664654,100.51814317703247
AAPL,1.69006809592247,100.0659704208374
