Company,WAPE (price),WAPE (return)
AMZN,4.981270805001259,5.886729806661606
MSFT,23.182232677936554,5.347369983792305
GM,4.250704124569893,16.91512018442154
UBER,7.321222126483917,16.26316010951996
Coca Cola,6.275591254234314,3.648313879966736
EBAY,3.7942200899124146,7.547679543495178
DIS,14.17064517736435,6.187606975436211
FORD,3.0724622309207916,6.369372457265854
NFLX,9.391191601753235,4.603371396660805
NKE,12.85308450460434,7.800146192312241
GE,4.443607479333878,7.789070159196854
WMT,20.38247138261795,3.011905215680599
INTC,2.999020740389824,6.023819744586945
GOOG,7.714170962572098,12.556590139865875
AAPL,25.37491023540497,3.6388613283634186
