Company,WAPE (price),WAPE (return)
GE,98.99219721689836,98.54018713284201
AMZN,103.80683087841089,102.46973945368208
GOOG,104.91707287340404,104.48668129938493
NKE,100.52611536495957,99.49865054010627
INTC,109.21499481460482,106.6920111571984
AAPL,103.07958077421435,101.24006174925455
UBER,100.91498680710482,100.72284239546568
MSFT,103.55352686866632,102.43252195819721
GM,99.90945181934634,99.65258539862282
WMT,102.4367270486656,100.82597485802036
NFLX,95.82230021926121,95.35695990075973
Coca Cola,104.2041152806713,102.40206661914179
EBAY,102.32816881955762,101.94235539836383
FORD,101.06862423198466,100.28951167351259
DIS,104.56137649625528,104.07730955407364
