Company,WAPE (price),WAPE (return)
AMZN,9.970681369304657,122.45779037475586
MSFT,151.42359733581543,15613.565063476562
GM,0.6819419097155333,94.93491649627686
UBER,1.07456985861063,96.63331508636475
Coca Cola,0.417479919269681,113.80841732025146
EBAY,0.9460989385843277,2713.423728942871
DIS,2.304347977042198,1274.483871459961
FORD,1.3677219860255718,129.45533990859985
NFLX,0.5496449302881956,101.90608501434326
NKE,0.8357460610568523,99.08773303031921
GE,5.182605981826782,1011.1148834228516
WMT,0.4200809635221958,4642.254638671875
INTC,0.49951779656112194,114.48501348495483
GOOG,0.4312917124480009,89.10586833953857
AAPL,0.9164291433990002,132.86746740341187
