Company,WAPE (price),WAPE (return)
China Shenhua,1.2794078327715397,92.98400282859802
Agricultural Bank of China,0.23997202515602112,102.47606039047241
Wanhua Chemical Group,1.1201485991477966,100.60359239578247
Anhui Coonch Cement,0.9437947534024715,96.99520468711853
CITIC Securities,0.8552464656531811,90.7313585281372
Kweichow Moutai,0.9753640741109848,100.68798065185547
China Duty Free Group,1.5160189010202885,92.5710141658783
Ping An,0.639151269569993,100.55749416351318
China Pacific Insurance,0.8865623734891415,100.25122165679932
PetroChina,0.7559558842331171,99.89714622497559
SAIC Motor,2.865442633628845,93.49890351295471
China Merchants Bank,0.8550279773771763,99.45300221443176
Sinopec,1.3076471164822578,100.50644874572754
Hengrui Medicine,0.9756422601640224,95.71532011032104
China Life Insurance Company Limited,0.9517710655927658,100.03465414047241
