Company,WAPE (price),WAPE (return)
AMZN,0.9444243274629116,95.01074552536011
MSFT,0.9202255867421627,99.95949864387512
GM,0.9673252701759338,100.92309713363647
UBER,1.8104953691363335,97.9859471321106
Coca Cola,0.7999161258339882,99.80416893959045
EBAY,0.9316788055002689,91.26494526863098
DIS,0.5630054976791143,95.9233820438385
FORD,1.0555028915405273,96.08446955680847
NFLX,0.7649381645023823,96.55088186264038
NKE,0.7966938428580761,96.67479991912842
GE,1.1473819613456726,100.53383111953735
WMT,0.5874163471162319,100.20201206207275
INTC,0.6662479601800442,93.03892254829407
GOOG,0.8493444882333279,93.75119805335999
AAPL,1.0934440419077873,94.37970519065857
