Company,WAPE (price),WAPE (return)
AMZN,3.398178145289421,5.64916729927063
MSFT,22.64285534620285,5.0371769815683365
GM,3.3742617815732956,15.604212880134583
UBER,8.034076541662216,15.615354478359222
Coca Cola,5.813075974583626,3.5362761467695236
EBAY,2.73593682795763,7.539643347263336
DIS,14.0734001994133,6.018077582120895
FORD,3.114372119307518,5.890657007694244
NFLX,8.38644951581955,4.48279045522213
NKE,15.390419960021973,7.606883347034454
GE,4.006422683596611,7.474081963300705
WMT,16.097331047058105,2.9060207307338715
INTC,2.9217857867479324,5.8790650218725204
GOOG,7.439123094081879,11.973773688077927
AAPL,26.55235528945923,3.5115517675876617
